stateno,urban,electoral_competition,State,PRI_governor,PRD_governor,LGBT_orgs,year,DV,durat,durat2,durat3,diffusion,past_events,levangelicals,lcatholics,lwealth,lracial_diversity
1,80.2277914,0.3428978,Aguascalientes,0,0,0,2000,0,1,1,1,0,0,0.48605305,4.560621,6.946636,-1.8875129
1,80.41157452,0.3428978,Aguascalientes,0,0,0,2001,0,2,4,8,0,0,0.5912308,4.5580764,6.9401827,-1.7180064
1,80.59535764,0.3428978,Aguascalientes,0,0,0,2002,0,3,9,27,0,0,0.6863915,4.555526,6.938942,-1.5731109
1,80.77914077,0.3428978,Aguascalientes,0,0,0,2003,0,4,16,64,0,0,0.7732782,4.552969,6.9355345,-1.4465777
1,80.96292389,0.3428978,Aguascalientes,0,0,0,2004,0,5,25,125,0,0,0.85321546,4.550405,6.953285,-1.3342716
1,81.14670701,0.37672496,Aguascalientes,0,0,0,2005,0,6,36,216,0,0,0.927233,4.547835,6.9537096,-1.2333144
1,81.07925983,0.37672496,Aguascalientes,0,0,0,2006,0,7,49,343,0,0,0.9961475,4.5452576,7.000232,-1.2763703
1,81.01181264,0.37672496,Aguascalientes,0,0,0,2007,0,8,64,512,0,0,1.0606174,4.542674,7.055356,-1.3213638
1,80.94436546,0.37672496,Aguascalientes,0,0,0,2008,0,9,81,729,0,0,1.1211816,4.540084,7.021629,-1.3684775
1,80.87691827,0.37672496,Aguascalientes,0,0,0,2009,0,10,100,1000,0,0,1.1782862,4.537487,6.9712625,-1.4179211
1,80.80947109,0.37672496,Aguascalientes,0,0,0,2010,0,11,121,1331,0,0,1.2323053,4.534883,7.00193,-1.4699371
1,80.7420239,0.26443487,Aguascalientes,1,0,0,2011,0,12,144,1728,0,0,1.2835553,4.5322723,6.999876,-1.5248079
1,80.67457672,0.26443487,Aguascalientes,1,0,0,2012,0,13,169,2197,1,0,1.3323063,4.529655,7.0262146,-1.5828652
1,80.60712953,0.26443487,Aguascalientes,1,0,0,2013,0,14,196,2744,1,0,1.3787906,4.527031,7.0482955,-1.6445022
1,80.53968235,0.26443487,Aguascalientes,1,0,0,2014,3,15,225,3375,4,0,1.4232098,4.5243998,7.128612,-1.7101891
2,91.58278613,0.29107344,Baja California,0,0,0.40203154,2000,0,1,1,1,0,0,1.8607138,4.3995223,7.053971,0.62811005
2,91.8623254,0.29107344,Baja California,0,0,0.39081013,2001,0,2,4,8,0,0,1.9425797,4.3894,6.988208,0.57835114
2,92.14186467,0.31688553,Baja California,0,0,0.3801981,2002,0,3,9,27,0,0,2.0182478,4.3791747,6.9368143,0.52598596
2,92.42140394,0.31688553,Baja California,0,0,0.37014714,2003,0,4,16,64,0,0,2.088591,4.3688436,7.104633,0.47072643
2,92.70094321,0.31688553,Baja California,0,0,0.36061394,2004,0,5,25,125,0,0,2.1543095,4.358404,7.1212325,0.41223374
2,92.98048247,0.31688553,Baja California,0,0,0.35155946,2005,0,6,36,216,0,0,2.215974,4.347855,7.121703,0.35010594
2,92.84276567,0.31688553,Baja California,0,0,0.34404588,2006,0,7,49,343,0,0,2.274056,4.3371935,7.154636,0.354688
2,92.70504886,0.31688553,Baja California,0,0,0.3368467,2007,0,8,64,512,0,0,2.3289487,4.326417,7.1419625,0.35924914
2,92.56733205,0.28818303,Baja California,0,0,0.32994267,2008,0,9,81,729,0,0,2.3809845,4.315523,7.1113477,0.3637896
2,92.42961524,0.28818303,Baja California,0,0,0.32331595,2009,0,10,100,1000,0,0,2.430446,4.304509,7.0212173,0.3683095
2,92.29189844,0.28818303,Baja California,0,0,0.31695017,2010,0,11,121,1331,0,0,2.4775758,4.2933726,6.989414,0.37280908
2,92.15418163,0.28818303,Baja California,0,0,0.31083024,2011,0,12,144,1728,0,0,2.522584,4.2821107,6.9861317,0.3772885
2,92.01646482,0.28818303,Baja California,0,0,0.30494216,2012,0,13,169,2197,0,0,2.5656533,4.27072,7.0124297,0.38174793
2,91.87874801,0.28818303,Baja California,0,0,0.299273,2013,3,14,196,2744,0,0,2.6069443,4.2591987,6.9954987,0.38618758
2,91.74103121,0.24825001,Baja California,0,0,0.2938108,2014,0,15,225,3375,0,1,2.6465974,4.247543,6.983422,0.39060763
3,81.29756321,0.36227864,Baja California Sur,0,1,0,2000,0,1,1,1,0,0,1.27235,4.4889507,6.919683,0.35799685
3,81.99011726,0.36227864,Baja California Sur,0,1,0,2001,0,2,4,8,0,0,1.373978,4.481843,6.9557137,0.38369754
3,82.68267132,0.36227864,Baja California Sur,0,1,0,2002,0,3,9,27,0,0,1.4662241,4.4746847,6.945058,0.40875423
3,83.37522537,0.36227864,Baja California Sur,0,1,0,2003,0,4,16,64,0,0,1.5506747,4.467475,7.19241,0.43319842
3,84.06777943,0.36227864,Baja California Sur,0,1,0,2004,0,5,25,125,0,0,1.6285455,4.460212,7.2653317,0.4570593
3,84.76033348,0.36227864,Baja California Sur,0,1,0,2005,0,6,36,216,0,0,1.7007881,4.452897,7.3140206,0.48036408
